id,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
46475943,4,5.0,5.0,4.75,5.0,4.75,5.0,4.5,0.1
864321103080953349,0,,,,,,,,
841098685339489415,0,,,,,,,,
52681365,2,4.5,5.0,4.5,4.5,5.0,5.0,4.5,0.09
638830141716356817,0,,,,,,,,
29548114,1,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.01
46475821,4,4.75,4.75,4.5,4.25,5.0,4.75,4.5,0.17
45963002,0,,,,,,,,
45961316,4,5.0,4.75,5.0,5.0,5.0,4.75,4.25,0.1
52525344,0,,,,,,,,
44525671,0,,,,,,,,
39401038,1,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.02
864099010095266648,3,4.33,5.0,4.67,5.0,4.67,5.0,5.0,0.14
32906878,4,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0.06
53038612,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.04
1241238978192145855,0,,,,,,,,
45962895,7,5.0,5.0,5.0,5.0,5.0,4.86,4.57,0.3
1228330371205511016,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.14
643168943861912173,0,,,,,,,,
36010500,0,,,,,,,,
1209048718944845064,0,,,,,,,,
19595827,29,4.79,4.86,4.62,5.0,4.97,5.0,4.66,0.3
49083516,0,,,,,,,,
762626108952636785,0,,,,,,,,
42011728,0,,,,,,,,
1456471824462595412,0,,,,,,,,
915670366666904246,1,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.05
1315672031100794571,1,5.0,5.0,5.0,5.0,5.0,5.0,3.0,0.73
32908981,0,,,,,,,,
798279586997331039,2,5.0,5.0,5.0,4.5,5.0,5.0,5.0,0.07
45871999,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.04
46475535,7,4.86,4.86,4.71,4.86,4.86,5.0,4.57,0.22
1422215104467222024,0,,,,,,,,
825579456713831810,2,5.0,4.5,5.0,4.0,5.0,5.0,4.0,0.07
29554536,16,4.75,4.81,4.69,4.88,4.75,5.0,4.56,0.19
1025588886070864385,8,5.0,5.0,5.0,5.0,4.88,5.0,5.0,0.43
39811470,0,,,,,,,,
1225972660254798233,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.23
22798533,21,4.86,4.81,4.86,4.95,4.81,4.9,4.62,0.23
1267274248707779718,0,,,,,,,,
45962749,2,5.0,5.0,5.0,5.0,5.0,5.0,4.5,0.05
1503328375771943833,0,,,,,,,,
1227318472840875048,0,,,,,,,,
39119402,2,4.5,5.0,3.5,5.0,4.5,5.0,5.0,0.05
671978123001456727,0,,,,,,,,
1209168395214773284,0,,,,,,,,
1227154676044915085,0,,,,,,,,
52522468,0,,,,,,,,
21462227,1,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.01
1498893172134420576,0,,,,,,,,
39119415,0,,,,,,,,
1508711537432612970,0,,,,,,,,
1021016542430364492,0,,,,,,,,
864117612353918427,2,5.0,4.5,5.0,5.0,4.5,4.5,4.5,0.09
21670282,32,4.78,4.75,4.66,4.91,4.78,5.0,4.47,0.34
41406564,0,,,,,,,,
855990949677399210,0,,,,,,,,
29078458,0,,,,,,,,
6300577,25,4.76,4.92,4.88,5.0,5.0,4.76,4.56,0.2
1066283876987607462,0,,,,,,,,
7398096,22,4.23,4.74,3.95,4.32,4.6,4.47,4.48,0.19
1185197681072791802,0,,,,,,,,
25184205,3,4.67,5.0,4.67,5.0,5.0,5.0,4.33,0.05
967652598109248918,0,,,,,,,,
25183926,0,,,,,,,,
8113936,8,4.5,4.75,4.63,4.75,4.88,4.88,4.63,0.07
12556334,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.03
1188009951382171280,0,,,,,,,,
8113712,7,5.0,5.0,4.71,5.0,5.0,4.86,4.71,0.08
1108311518263138063,0,,,,,,,,
8113893,9,4.89,4.78,4.78,5.0,4.89,4.78,4.89,0.08
1312255601257594103,0,,,,,,,,
53209302,0,,,,,,,,
31218304,29,5.0,5.0,4.93,5.0,4.93,4.86,4.79,0.35
1397041565458187646,0,,,,,,,,
1333359831255145964,0,,,,,,,,
16150227,4,4.75,4.75,4.25,4.75,5.0,4.75,4.75,0.05
1093106707528615883,0,,,,,,,,
31219674,13,4.92,5.0,4.92,5.0,5.0,4.62,4.92,0.16
1464494275136538266,0,,,,,,,,
1490205937398910176,0,,,,,,,,
369141,81,4.43,4.45,4.41,4.71,4.76,4.64,4.55,0.55
48098802,2,4.5,4.5,4.0,5.0,5.0,5.0,4.5,0.04
9532788,206,4.7,4.77,4.71,4.8,4.86,4.9,4.74,1.73
34579286,46,4.85,4.72,4.87,4.87,4.98,4.89,4.8,0.6
1278697036883293572,0,,,,,,,,
16309636,68,4.84,4.82,4.91,4.87,4.91,4.94,4.78,0.64
1314483372159402069,0,,,,,,,,
1495431349725474932,0,,,,,,,,
1231005395139604028,0,,,,,,,,
8256942,6,4.0,3.5,4.0,4.67,4.67,3.67,3.33,0.05
1430784800417314095,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.87
1430858754525398893,2,5.0,5.0,5.0,5.0,5.0,4.5,4.5,0.69
23733935,8,5.0,5.0,5.0,5.0,4.88,5.0,4.75,0.09
1291926881199645857,0,,,,,,,,
14293554,4,3.75,3.75,3.25,4.75,4.0,4.75,3.5,0.04
797466283592149468,0,,,,,,,,
1228800942317269763,0,,,,,,,,
19107598,82,4.74,4.87,4.6,4.89,4.96,4.68,4.65,0.82
26583889,10,4.9,5.0,5.0,4.9,5.0,4.8,4.6,0.13
36129690,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.04
71896,24,4.16,4.22,4.09,4.43,4.43,4.17,4.04,0.14
1070092240469943101,3,3.0,3.0,3.67,3.33,3.33,3.67,3.33,0.15
1061349306448633698,0,,,,,,,,
47124048,0,,,,,,,,
1490981728850858299,0,,,,,,,,
33836101,0,,,,,,,,
784633886415640302,0,,,,,,,,
813563012153638643,0,,,,,,,,
1107018143815630482,20,4.3,4.5,4.25,4.75,4.5,4.55,4.4,1.12
48265114,5,4.8,4.8,5.0,5.0,5.0,4.8,4.8,0.09
1349115015417208218,0,,,,,,,,
1207844551442217013,0,,,,,,,,
1323511908076398953,3,4.33,4.33,4.67,4.67,5.0,5.0,4.33,0.37
1309472050479764448,0,,,,,,,,
1072220561454922559,0,,,,,,,,
16007139,12,4.5,4.75,4.58,4.92,5.0,4.92,4.67,0.12
36581961,15,4.93,4.93,4.93,5.0,5.0,5.0,4.73,0.2
719821104611749511,4,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0.12
643090826146083210,6,5.0,5.0,4.83,5.0,5.0,4.83,4.67,0.28
13875517,0,,,,,,,,
1441699565088289084,0,,,,,,,,
1482210118474008691,0,,,,,,,,
7720994,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.02
53014553,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.02
1395874993355080426,0,,,,,,,,
900478455755523033,0,,,,,,,,
1201866992155885536,0,,,,,,,,
38965851,6,4.67,4.67,4.33,4.5,4.67,5.0,4.5,0.08
1441747156241875893,0,,,,,,,,
5494971,208,4.8,4.79,4.84,4.87,4.89,4.76,4.66,1.63
798800453487590434,0,,,,,,,,
23070167,6,4.83,5.0,4.5,5.0,5.0,4.6,4.6,0.06
40198092,16,5.0,5.0,4.94,5.0,5.0,4.69,4.94,0.23
