id,name,description,neighborhood_overview,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,minimum_nights,maximum_nights,instant_bookable,longitude,latitude,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,availability_30,availability_60,availability_90,availability_365
71609,Ensuite Room (Room 1 & 2) near EXPO,For 3 rooms.Book room 1&2 and room 4,,Private room in villa,Private room,2,1 private bath,2.0,,"[""Outdoor kitchen"", ""Refrigerator"", ""Fire pit"", ""Hair dryer"", ""Cooking basics"", ""Private entrance"", ""Free parking on premises"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Dryer"", ""Luggage dropoff allowed"", ""Keypad"", ""Free street parking"", ""Air conditioning"", ""Iron"", ""Children\u2019s books and toys"", ""Washer"", ""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""BBQ grill"", ""TV"", ""Hot water"", ""Smoke alarm"", ""Essentials"", ""Dedicated workspace"", ""Shared hot tub"", ""Outdoor furniture"", ""Self check-in"", ""Kitchen"", ""Shampoo"", ""Outdoor dining area""]",92,365,f,103.95887,1.34537,92.0,92.0,1125.0,1125.0,30,60,90,90
71896,B&B  Room 1 near Airport & EXPO,,,Private room in home,Private room,1,Shared half-bath,1.0,1.0,"[""Outdoor kitchen"", ""Dishes and silverware"", ""Refrigerator"", ""Fire pit"", ""Hair dryer"", ""Cooking basics"", ""Private entrance"", ""Free parking on premises"", ""Lock on bedroom door"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Dryer"", ""Keypad"", ""AC - split type ductless system"", ""Free street parking"", ""Coffee maker"", ""Iron"", ""Shower gel"", ""Drying rack for clothing"", ""Washer"", ""Hangers"", ""BBQ grill"", ""Extra pillows and blankets"", ""TV"", ""Paid parking on premises"", ""Hot water"", ""Bed linens"", ""Smoke alarm"", ""Cleaning products"", ""Essentials"", ""Dedicated workspace"", ""Shared hot tub"", ""Outdoor furniture"", ""Self check-in"", ""Kitchen"", ""Shampoo"", ""Outdoor dining area""]",92,365,f,103.95958,1.34754,92.0,92.0,1125.0,1125.0,30,60,90,90
71903,Room 2-near Airport & EXPO,"Like your own home, 24hrs access.",Quiet and view of the playground with exercise tracks with access to neighbourhood Simwi Estate.,Private room in home,Private room,2,Shared half-bath,1.0,2.0,"[""Outdoor kitchen"", ""Fire pit"", ""Hair dryer"", ""Cooking basics"", ""Free parking on premises"", ""Lock on bedroom door"", ""Wifi"", ""Dryer"", ""Keypad"", ""AC - split type ductless system"", ""Free street parking"", ""Coffee maker"", ""Washer"", ""Heating"", ""BBQ grill"", ""TV"", ""Hot water"", ""Smoke alarm"", ""Essentials"", ""Shared hot tub"", ""Outdoor furniture"", ""Self check-in"", ""Kitchen"", ""Shampoo"", ""Outdoor dining area""]",92,365,f,103.961,1.34531,92.0,92.0,1125.0,1125.0,30,60,90,90
275343,10min walk to MRT & a Cozy Room with window! (1),"**IMPORTANT NOTES:  READ BEFORE YOU BOOK! <br />==Since this is an HDB Flat tourists are NOT ALLOWED unless having a VALID PASS like IPA Letter or TEP.<br /><br />Cozy, comfortable, well-renovated & fitted. Great guests, and a great environment!<br /><br />This is a shared apartment with several other flatmates.<br />We have 2 Common bathrooms and 2 toilets (separate) <br />10 min walk to Redhill MRT or take a bus direct from the bus terminal downstairs direct to Tiong Bahru MRT<br />Near Queensway, Alexandra, NUS, NUH.",,Private room in rental unit,Private room,1,2 shared baths,,,"[""Paid dryer \u2013 In building"", ""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Lock on bedroom door"", ""Wifi"", ""Clothing storage"", ""Luggage dropoff allowed"", ""Keypad"", ""Air conditioning"", ""Elevator"", ""Iron"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Bidet"", ""TV"", ""Paid washer \u2013 In building"", ""Hot water"", ""Bed linens"", ""Stove"", ""Smoke alarm"", ""Cleaning products"", ""Dedicated workspace"", ""Self check-in"", ""Kitchen"", ""Hot water kettle""]",180,999,t,103.80814,1.29015,180.0,180.0,1125.0,1125.0,0,0,0,0
275344,15 mins to Outram MRT Single Room (2),Lovely home for the special guest !,Bus stop <br />Food center <br />Supermarket,Private room in rental unit,Private room,1,2.5 shared baths,,,"[""Paid dryer \u2013 In building"", ""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Lock on bedroom door"", ""Wifi"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Elevator"", ""Iron"", ""Carbon monoxide alarm"", ""Drying rack for clothing"", ""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Bidet"", ""TV"", ""Smart lock"", ""Paid washer \u2013 In building"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Clothing storage: closet and dresser"", ""Stove"", ""Smoke alarm"", ""Cleaning products"", ""Dedicated workspace"", ""Self check-in"", ""Kitchen"", ""Hot water kettle""]",180,999,t,103.81144,1.28836,180.0,180.0,1125.0,1125.0,0,0,0,0
294281,5 mins walk from Newton subway,I have 3 bedrooms  in a charming British style townhouse for you and your family while you are visiting Singapore . This is the GREEN ROOM .<br />https://www.airbnb.co.uk/rooms/294281 <br /> Be sure to look at the other 2 rooms .<br /><br />BURGUNDY ROOM(https://www.airbnb.co.uk/rooms/369141   )<br />BLUE ROOM (https://www.airbnb.co.uk/rooms/369145),,Private room in rental unit,Private room,2,1 shared bath,2.0,1.0,"[""Oven"", ""Private patio or balcony"", ""Dishes and silverware"", ""Refrigerator"", ""Hair dryer"", ""Cooking basics"", ""Park view"", ""Wifi"", ""Free street parking"", ""Air conditioning"", ""Iron"", ""Washer"", ""Hangers"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Stove"", ""Smoke alarm"", ""Essentials"", ""Kitchen"", ""Shampoo""]",92,1125,f,103.83924,1.31142,92.0,92.0,1125.0,1125.0,30,60,90,365
324945,Comfortable Room w/study area @ Redhill  MRT! (6),"**IMPORTANT NOTES:  READ BEFORE YOU BOOK! <br />==Since this is an HDB Flat tourists are NOT ALLOWED unless having a VALID PASS like IPA Letter or TEP.<br /><br />Cozy, comfortable, well-renovated & fitted. Great guests, great environment, and great host!<br /><br />This is a shared apartment with several other flatmates.<br />We have 2 Common bathrooms and 2 toilets (separate) <br /><br />10 min walk to Redhill MRT or take a bus direct from the bus terminal downstairs direct to Tiong Bahru MRT<br /><br />Near Queensway, Alexandra, NUS, NUH.",,Private room in rental unit,Private room,1,2 shared baths,,,"[""Paid dryer \u2013 In building"", ""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Lock on bedroom door"", ""Wifi"", ""Clothing storage"", ""Air conditioning"", ""Iron"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Bidet"", ""TV"", ""Smart lock"", ""Paid washer \u2013 In building"", ""Hot water"", ""Bed linens"", ""Smoke alarm"", ""Dedicated workspace"", ""Self check-in"", ""Kitchen""]",180,999,f,103.8102,1.28828,180.0,180.0,1125.0,1125.0,0,0,0,0
330095,Relaxing Mini Room near Redhill MRT-NOwindow  (4),"**IMPORTANT NOTES:  READ BEFORE YOU BOOK! <br />==Since this is an HDB Flat tourists are NOT ALLOWED unless having a VALID PASS like IPA Letter or TEP.<br /><br />Cozy, comfortable, Orange no window room, well-renovated & fitted. Great guests, and a great environment!<br /><br />This is a shared apartment with several other flatmates.<br />We have 2 Common bathrooms and 2 toilets (separate). <br /><br />10 min walk to Redhill MRT or take a bus direct from the bus terminal downstairs direct to Tiong Bahru MRT Near Queensway, NUS, NUH.","Near IKEA Alexandra Singapore, Food markets and convenience stores",Private room in rental unit,Private room,1,2 shared baths,,,"[""Paid dryer \u2013 In building"", ""Dishes and silverware"", ""Freezer"", ""Refrigerator"", ""Cooking basics"", ""Lock on bedroom door"", ""Wifi"", ""Clothing storage"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Elevator"", ""Iron"", ""Carbon monoxide alarm"", ""Drying rack for clothing"", ""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Bidet"", ""TV"", ""Smart lock"", ""Paid washer \u2013 In building"", ""Hot water"", ""Bed linens"", ""Smoke alarm"", ""Dedicated workspace"", ""Induction stove"", ""Self check-in"", ""Kitchen"", ""Hot water kettle"", ""Shampoo""]",180,365,t,103.81138,1.28636,180.0,180.0,1125.0,1125.0,0,0,0,0
344803,Budget short stay room near  EXPO,"Direct bus 24 from airport to this place.Walking distance to expo,downtown line3 and east west line(green line)",A very quiet place .Very near to airport and cannot hear airplane sound,Private room in home,Private room,1,1.5 shared baths,1.0,1.0,"[""Tecno gas stove"", ""Oven"", ""Outdoor kitchen"", ""Dishes and silverware"", ""Refrigerator"", ""Fire pit"", ""Hair dryer"", ""Cooking basics"", ""Free parking on premises"", ""Lock on bedroom door"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Outdoor shower"", ""Dryer"", ""Garden view"", ""Keypad"", ""AC - split type ductless system"", ""Free street parking"", ""Coffee maker"", ""Iron"", ""Children\u2019s books and toys"", ""Shower gel"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Hangers"", ""Bidet"", ""Body soap"", ""Extra pillows and blankets"", ""TV"", ""BBQ grill"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Paid parking off premises"", ""High chair"", ""Bathtub"", ""Cleaning products"", ""Essentials"", ""Dedicated workspace"", ""Outdoor furniture"", ""Self check-in"", ""Kitchen"", ""Room-darkening shades"", ""Shampoo"", ""Outdoor dining area""]",92,365,t,103.9609,1.34917,92.0,92.0,1125.0,1125.0,0,0,11,286
369141,5mins from Newton Train Station,A room in a charming British style townhouse for you and your family while you are visiting Singapore .,"DO YOU WANT A CHARMING AIRBNB HOMESTAY WITH A TRULY LOCAL EXPERIENCE?<br />I am an avid traveller, who started travelling at the age of 12 years old. As such, it is a joy for me to host travellers in my cosy home and share our travel tales.<br />If you are looking for a unique, classic “airbnb” home stay accommodation, off the beaten track but yet super convenient location, you can stop here!!<br /><br />I would love to hear a little bit about yourself and connect with you.<br /><br />As a travelled Singaporean, I can share the ins and outs of local scene so that YOU can bring home this unique experience home.<br /><br />Someone who share a meal together or just relax and chat over a glass of wine. There is a cleaner who comes around weekly to ensure the house is always clean and tidy. The cleaning charges will be covered in the rent.<br /><br />Join me at ARUAN Park in A Rustic Unique Adventurous Nostalgic home.<br />A cosy spacious room with an attached patio. Facing a nice park in a",Private room,Private room,2,1 bath,1.0,1.0,"[""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Hair dryer"", ""Cooking basics"", ""Lock on bedroom door"", ""Wifi"", ""Free street parking"", ""Air conditioning"", ""Iron"", ""Washer"", ""Hangers"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""TV"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Stove"", ""Smoke alarm"", ""Essentials"", ""Kitchen"", ""Shampoo""]",92,180,f,103.83784,1.31144,92.0,92.0,180.0,180.0,30,60,90,365
369145,5 mins walk from Newton MRT,,"DO YOU WANT A CHARMING AIRBNB HOMESTAY WITH A TRULY LOCAL EXPERIENCE?<br />I am an avid traveller, who started travelling at the age of 12 years old. As such, it is a joy for me to host travellers in my cosy home and share our travel tales.<br />If you are looking for a unique, classic “airbnb” home stay accommodation, off the beaten track but yet super convenient location, you can stop here!!<br /><br />I would love to hear a little bit about yourself and connect with you.<br /><br />As a travelled Singaporean, I can share the ins and outs of local scene so that YOU can bring home this unique experience home.<br /><br />Someone who share a meal together or just relax and chat over a glass of wine. There is a cleaner who comes around weekly to ensure the house is always clean and tidy. The cleaning charges will be covered in the rent.<br /><br />Join me for a  A Rustic Unique Adventurous Nostalgic home.<br />A cosy spacious room Facing a nice park in a charming British style townhouse ",Private room in townhouse,Private room,2,1 shared bath,2.0,1.0,"[""Dishes and silverware"", ""Refrigerator"", ""Hair dryer"", ""Cooking basics"", ""Wifi"", ""Free street parking"", ""Air conditioning"", ""Iron"", ""Washer"", ""Hangers"", ""Extra pillows and blankets"", ""Hot water"", ""Microwave"", ""Bed linens"", ""TV with standard cable"", ""Stove"", ""Essentials"", ""Oven"", ""Kitchen""]",92,1125,f,103.83788,1.31129,92.0,92.0,1125.0,1125.0,30,60,90,365
395191,Heritage Apartment Room near Orchard,A basic simple small room for solo traveler in a heart of Singapore's central area- with easy access to buses and MRT train- Located in a heritage district.,,Private room in rental unit,Private room,1,0 baths,,,"[""Dryer"", ""Air conditioning"", ""Pool"", ""Elevator"", ""Hair dryer"", ""Iron"", ""Backyard"", ""Kitchen"", ""Washer"", ""Lock on bedroom door"", ""Hangers"", ""Wifi""]",93,365,f,103.83575,1.29496,93.0,93.0,365.0,365.0,23,53,83,83
468782,Lovely Ensuite Room in Serangoon,"Our cosy room is suitable for those who are here for work, to study or just on a vacation. A stones throw away are many local food centres, a shopping centre, banks and parks.","Our area used to house former British soldiers in Singapore during WW2. It has since changed a lot and boasts some pretty awesome amenities!<br /><br />These are some of the really AWESOME amenities nearby:<br /><br />-Banks (DBS , Standard Chartered , UOB , HSBC , Citibank)<br /><br />-Moneychanger<br /><br />-Singapore Post Office (For mailing/posting purposes)<br /><br />-24/7 Supermarket",Private room in home,Private room,2,1.5 baths,1.0,0.0,"[""Dryer"", ""Essentials"", ""Dishes and silverware"", ""Air conditioning"", ""Washer"", ""Free parking on premises"", ""Lock on bedroom door"", ""Wifi""]",92,180,f,103.86575,1.36288,92.0,92.0,180.0,180.0,30,60,90,365
481789,Master Bedroom in Newly Built Flat,Aircon Master Bedroom in a Newly Built Flat for Lease  from 18 APRIL 2015 (6months to 2years) directly opposite Temasek Polytechnic.<br /><br /><br /><br />  ,Lots of eateries and neighbourhood shops.,Private room in rental unit,Private room,2,1 bath,1.0,,"[""Air conditioning"", ""TV"", ""Elevator"", ""Kitchen"", ""Washer"", ""Wifi""]",180,730,f,103.93238,1.34816,180.0,180.0,730.0,730.0,0,0,0,0
606784,"Ensuite room, pool, near airport, expo and sutd.","Cosy, spacious double room in a quiet and pleasant neighborhood. Wi-fi, tv. Big common pool and gym. 12 min. walk to suburban mall and MRT station. Also near Expo and SUTD, both about 20 min. walk. Especially great for lady travellers.","Quiet and pleasant neighbourhood. MRT, suburban mall with big 24-hr supermarket, 12 min. walk away. Plenty of food-courts, cafes, coffee-shops and fast-food chains in and around the mall and mrt station.",Private room in condo,Private room,2,2 baths,,,"[""Dishes and silverware"", ""Refrigerator"", ""Hair dryer"", ""Lock on bedroom door"", ""Wifi"", ""Dryer"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Elevator"", ""Iron"", ""Hot tub"", ""Washer"", ""Hangers"", ""Extra pillows and blankets"", ""TV"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Gym"", ""Essentials"", ""Pool"", ""Shampoo""]",92,150,f,103.95717,1.34361,92.0,92.0,150.0,150.0,0,0,0,0
